RelationshipType,Source,Target
SPDXRef-Package-k8sgcriokube-proxy-amd64v1220-alpha3,CONTAINS,SPDXRef-Package-ebbc83e5651ada12224db017d981350033254ec2
SPDXRef-Package-k8sgcriokube-proxy-amd64v1220-alpha3,CONTAINS,SPDXRef-Package-19cd92e60eb227cb67feab1b4968883d01cad5d2
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8sgcriokube-proxy-amd64v1220-alpha3
SPDXRef-Package-k8sgcrioconformance-armv1220-alpha3,CONTAINS,SPDXRef-Package-f49aad0ad84255620a30cf27e966aa3af71797f5
SPDXRef-Package-k8sgcrioconformance-armv1220-alpha3,CONTAINS,SPDXRef-Package-74a4a19dbdd8d8f0e3e9df2d6a875f2fc445f5d3
SPDXRef-Package-k8sgcrioconformance-armv1220-alpha3,CONTAINS,SPDXRef-Package-0130f02bc6e3dbb18c2c884a56509c9ac42925e7
SPDXRef-Package-k8sgcrioconformance-armv1220-alpha3,CONTAINS,SPDXRef-Package-ffed9f6d7238c54e9c31031cdef7df0032788e50
SPDXRef-Package-k8sgcrioconformance-armv1220-alpha3,CONTAINS,SPDXRef-Package-f059d42ec0b56311a90e8bc078db0da56948e9a0
SPDXRef-Package-k8sgcrioconformance-armv1220-alpha3,CONTAINS,SPDXRef-Package-db5b3c7ae4cf8a7bf562e55cb5bb432665f54387
SPDXRef-Package-k8sgcrioconformance-armv1220-alpha3,CONTAINS,SPDXRef-Package-09ff8b9554f6731efd1a5e67bf67f421827b2d3c
SPDXRef-Package-k8sgcrioconformance-armv1220-alpha3,CONTAINS,SPDXRef-Package-106e721be0950e90e6aaedccbc3b2dc6ef813f04
SPDXRef-Package-k8sgcrioconformance-armv1220-alpha3,CONTAINS,SPDXRef-Package-f0c76a42b7501b0ce6983e986c1c178653b1c332
SPDXRef-Package-k8sgcrioconformance-armv1220-alpha3,CONTAINS,SPDXRef-Package-5a0d07dcbd49be6aa80b866d1009fa75afdddc39
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8sgcrioconformance-armv1220-alpha3
SPDXRef-Package-k8sgcriokube-apiserver-armv1220-alpha3,CONTAINS,SPDXRef-Package-f49aad0ad84255620a30cf27e966aa3af71797f5
SPDXRef-Package-k8sgcriokube-apiserver-armv1220-alpha3,CONTAINS,SPDXRef-Package-4f71ee03e7c25c5985b657fd6ddf03a1fb817622
SPDXRef-Package-k8sgcriokube-apiserver-armv1220-alpha3,CONTAINS,SPDXRef-Package-31d07c883da895f011f982713c2135fb921f8c41
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8sgcriokube-apiserver-armv1220-alpha3
SPDXRef-Package-k8sgcriokube-apiserver-arm64v1220-alpha3,CONTAINS,SPDXRef-Package-cfad9662b1eb62a324f5b12c86553bda09298194
SPDXRef-Package-k8sgcriokube-apiserver-arm64v1220-alpha3,CONTAINS,SPDXRef-Package-9a64d702001ad4e86d09f492dc92a5d0517a326e
SPDXRef-Package-k8sgcriokube-apiserver-arm64v1220-alpha3,CONTAINS,SPDXRef-Package-7689d127a00de9821eb61a6a5706b641b44bfa56
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8sgcriokube-apiserver-arm64v1220-alpha3
