RelationshipType,Source,Target
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-registry.k8s.io-kube-proxy-ppc64le-v1.27.0-beta.0
SPDXRef-Package-registry.k8s.io-kube-proxy-s390x-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-kube-proxy-s390x-v1.27.0-beta.0-sha256-4d8873f0a0b9cfde79eee44de1d7a39f76d58fa8055f3298ac294c8f2a82fae0
SPDXRef-Package-registry.k8s.io-kube-proxy-s390x-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-kube-proxy-s390x-v1.27.0-beta.0-sha256-d6275cfb35656a55edc5aedae02642d959551eccf3d60d5fc85f3f1d3f99ccd4
SPDXRef-Package-registry.k8s.io-kube-proxy-s390x-v1.27.0-beta.0,GENERATED_FROM,DocumentRef-kubernetes-v1.27.0-beta.0:SPDXRef-Package-kubernetes
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-registry.k8s.io-kube-proxy-s390x-v1.27.0-beta.0
SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0-sha256-d0157aa0c95a4cae128dab97d699b2f303c8bea46914dc4a40722411f50bb40e
SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0-sha256-6fbdf253bbc2490dcfede5bdb58ca0db63ee8aff565f6ea9f918f3bce9e2d5aa
SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0-sha256-1b19a5d8d2dcb505a30c110e471dcd600d9300a8b7b0bcfa74316f3c9f1a71b5
SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0-sha256-ff5700ec54186528cbae40f54c24b1a34fb7c01527beaa1232868c16e2353f52
SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0-sha256-d52f02c6501c9c4410568f0bf6ff30d30d8290f57794c308fe36ea78393afac2
SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0-sha256-e624a5370eca2b8266e74d179326e2a8767d361db14d13edd9fb57e408731784
SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0-sha256-1a73b54f556b477f0a8b939d13c504a3b4f4db71f7a09c63afbc10acb3de5849
SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0-sha256-d2d7ec0f6756eb51cf1602c6f8ac4dd811d3d052661142e0110357bf0b581457
SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0-sha256-4cb10dd2545bd173858450b80853b850e49608260f1a0789e0d0b39edf12f500
SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0-sha256-907500af7e392da073daf966e300751d51c23023858509773f31ccf43e9b1b91
SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0-sha256-0eb34c39c409c2f12894d3edb0d0e6f74476e400b188e4a32c9f2641fa958422
SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0-sha256-2a3c3ecb431d83b3f03a01bdd226cbdea97c107cf5a74d53257ec88779e12818
SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0-sha256-5a912ba0c695d9526bbc59f25f1e1d84106ed20c4a4bb101332aacb2cf5a5bda
SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0-sha256-5b172336cc89093e69ecbd50c252a7f6b5c41abfefc7aef2a6d64f143c3a74d4
SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0-sha256-29eee05b14e499f0286f0190d93bbb8a164d11ddf9a4b538a138943a9637e7da
SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0-sha256-6844ae441fea3d10f421e1c5bb203da5da11e7bf63b4464bf0bdb9c0556fffcb
SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0-sha256-a77f981b981c49ca24d1e925eb0884b7b13340bad9eb555b7c863143e7638b73
SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0-sha256-c75e1d10619beed0dfc9340ef4c0a146e08df1dea1a50d4e588960e1ede5b211
SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0-sha256-11f1a76f8398e6b65abd9e97067c3b1c3e43d8c904fedc3e96ae06f349ba863a
SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0-sha256-fcf20cd4ac533bc6f354d026bcd2c157fa4a81581a91be09f5ccadd864329c20
SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0,GENERATED_FROM,DocumentRef-kubernetes-v1.27.0-beta.0:SPDXRef-Package-kubernetes
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-registry.k8s.io-conformance-amd64-v1.27.0-beta.0
